min_salary,max_salary,has_company_logo,has_questions,employment_type,required_experience,required_education,fraudulent
20000,28000,1,1,1,5,5,0
100000,120000,0,0,1,5,1,0
120000,150000,1,1,1,3,1,0
100000,120000,1,0,1,3,9,0
50000,65000,1,0,1,0,9,0
40000,50000,0,0,1,2,1,0
65000,70000,1,1,1,0,4,0
75,115,0,0,1,5,1,0
16000,28000,0,0,1,2,4,0
95000,115000,1,1,1,5,4,1
15000,18000,1,0,1,2,1,0
50000,70000,1,0,1,6,9,0
70000,90000,1,0,1,5,1,0
10000,14000,1,0,1,0,9,0
50,110,1,0,1,5,1,0
28000,45000,1,1,1,5,1,0
35000,40000,0,0,1,0,4,0
44000,57000,0,0,1,0,4,0
18500,28000,1,1,1,4,1,0
55000,75000,0,0,1,2,4,0
30000,35000,1,0,1,0,10,0
0,0,1,1,2,2,4,0
20000,40000,1,1,1,5,1,0
55000,75000,0,0,1,2,4,0
360000,600000,1,1,1,5,1,0
30000,40000,1,1,1,2,1,0
80000,100000,0,0,1,5,1,0
95000,115000,1,1,1,5,4,1
30000,40000,1,0,1,0,1,0
52000,78000,1,1,1,6,9,0
30000,40000,1,1,1,0,1,0
15750,15750,0,1,1,6,9,0
30000,40000,1,1,1,2,1,0
40000,65000,1,1,1,5,1,0
30000,37000,1,1,1,0,1,0
0,0,0,1,1,2,4,0
45000,67000,1,0,1,6,9,0
35000,100000,1,0,1,2,9,0
80000,100000,0,0,1,6,1,0
180000,216000,1,0,1,5,1,0
45000,60000,1,1,1,5,1,0
45000,65000,1,0,1,0,1,0
70000,90000,1,0,1,5,1,0
0,1000,1,0,1,5,1,0
36000,40000,1,0,1,6,9,0
80000,100000,0,0,1,5,1,0
19000,19000,1,1,1,0,1,0
40000,50000,0,0,1,2,1,0
60000,120000,1,1,1,1,1,0
120000,15000000,0,0,1,5,1,0
42000,55000,0,1,1,0,1,0
90000,120000,0,0,1,5,1,0
55000,75000,0,1,1,5,9,0
10000,14000,1,1,1,0,9,0
30000,40000,1,0,1,0,1,0
1600,1700,1,0,1,2,1,0
30000,70000,1,0,1,6,9,0
32000,40000,0,0,1,0,4,0
50,100,1,0,1,5,9,0
0,0,0,0,3,0,0,0
45000,67000,1,0,1,2,9,0
9000,17000,1,0,1,2,1,0
23040,28800,0,0,1,2,4,1
105,110,1,0,1,2,10,0
80000,110000,0,0,1,5,1,0
13000,16000,0,0,1,4,1,0
100000,180000,1,1,1,5,1,0
45000,55000,1,0,1,0,1,0
9000,12000,0,1,3,2,9,0
80000,110000,0,0,1,5,1,0
25000,42000,1,1,1,6,9,0
40000,60000,1,1,1,5,1,0
600000,750000,1,1,1,5,1,0
120000,170000,1,0,1,1,9,0
45000,90000,0,1,1,6,9,0
70000,90000,1,1,1,1,5,0
25000,30000,1,1,3,2,4,0
55000,75000,0,0,1,2,4,0
65000,75000,1,1,1,5,2,1
100000,130000,1,1,0,2,4,0
18000,20000,1,0,1,2,1,0
22000,30000,1,0,1,5,1,0
5000,6000,0,0,1,2,1,0
36000,52000,1,1,1,0,1,0
11000,11000,1,1,1,0,9,0
0,0,1,1,3,2,4,0
110000,150000,1,0,1,1,5,0
50000,150000,1,0,1,5,1,0
100000,600000,0,0,1,6,4,0
55000,75000,1,0,1,0,1,0
80000,120000,1,1,1,5,1,1
10800,10800,1,0,3,0,0,0
50000,60000,1,0,1,5,1,0
45000,50000,1,0,1,2,9,0
50000,72000,1,1,1,2,9,0
0,0,0,1,1,0,1,0
35000,150000,1,1,1,2,2,0
60000,100000,1,0,1,6,9,0
70000,125000,1,1,1,5,4,0
50000,80000,1,1,1,0,1,0
0,130000,1,0,0,5,1,0
65000,75000,1,1,1,5,2,1
20000,20000,0,1,1,0,9,0
25000,35000,1,0,1,2,4,0
120000,165000,1,1,1,5,1,0
23000,32000,1,1,1,0,4,1
18000,21000,1,1,0,3,1,0
25000,30000,1,1,1,2,4,1
100000,300000,1,1,1,2,1,0
55000,60000,1,1,1,5,9,0
65000,70000,1,1,1,1,1,0
40000,85000,1,1,1,5,9,0
30000,40000,1,1,1,5,9,0
40000,70000,1,1,1,5,9,0
75000,85000,0,1,1,5,6,0
320000,350000,1,0,1,2,1,0
110000,140000,0,0,1,5,1,0
30000,40000,0,0,1,0,7,0
30000,40000,1,1,0,5,9,0
20000,35000,1,1,1,0,7,0
65000,75000,0,0,1,0,1,0
0,0,1,1,1,2,9,0
20000,26000,1,1,1,0,9,0
70000,120000,1,1,1,5,1,1
90000,120000,0,1,1,5,1,0
9600,18000,1,1,1,2,4,0
28000,40000,1,1,1,0,1,0
90,120,0,1,1,5,9,0
4001,6000,0,0,0,2,4,0
18000,30000,1,1,1,5,1,0
30000,45000,1,1,0,5,9,0
15750,15750,0,1,1,6,9,0
60000,75000,1,1,1,5,5,0
30000,1000000,0,1,1,5,9,0
80000,110000,0,0,1,5,1,0
40000,55000,1,1,1,5,2,0
80000,120000,1,1,1,5,1,0
20000,30000,0,0,3,2,4,0
90000,100000,1,1,1,5,7,0
0,0,1,1,1,0,5,0
9000,12000,1,1,1,0,1,0
180000,240000,1,1,1,2,1,0
75,100,0,1,1,5,1,0
1161,1161,0,0,3,6,8,0
36000,48000,1,0,1,5,1,0
30000,50000,0,1,1,6,9,0
40000,50000,1,0,1,2,4,0
50000,70000,1,1,1,2,0,0
35000,45000,0,0,1,6,9,0
60000,80000,1,0,1,5,1,0
35,45,1,0,1,5,9,0
15000,20000,0,0,2,6,2,0
50000,60000,1,1,1,0,9,0
16000,18500,1,1,1,6,4,0
16000,24000,1,0,1,0,1,0
40000,45000,1,1,1,2,1,0
28000,35000,1,1,1,2,1,0
100000,130000,1,1,1,1,1,0
80000,105000,0,0,1,5,1,0
36000,63000,1,1,1,0,1,0
0,0,1,1,1,1,5,0
60000,90000,1,1,1,2,1,1
124000,375000,0,1,1,6,1,0
55000,65000,1,1,1,5,1,0
30000,50000,1,0,1,6,4,0
50000,55000,0,1,1,0,1,0
33000,36000,1,0,1,2,1,0
40000,45000,1,0,1,5,9,0
50000,70000,1,0,1,1,9,0
40000,50000,1,0,1,6,4,0
26000,30000,1,1,1,0,4,0
45000,67000,1,0,1,2,9,0
